"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"Atlético de Madrid","Midfielder","Saúl","33","4","41","195","1.483"
"Atlético de Madrid","Goalkeeper","Oblak ","37","0","2","279","759"
"Atlético de Madrid","Midfielder","Rodrigo","34","3","41","280","1.927"
"CD Leganés","Goalkeeper","Cuéllar","34","0","2","316","984"
"CD Leganés","Goalkeeper","Andrés","0","0","0","0","0"
"CD Leganés","Goalkeeper","Andriy Lunin","5","0","0","31","105"
"CD Leganés","Goalkeeper","David Tejero","0","0","0","0","0"
"CD Leganés","Defender","Juanfran","23","1","19","76","456"
"CD Leganés","Defender","Bustinza M.","25","0","53","101","866"
"CD Leganés","Defender","Diego Reyes","6","0","7","20","168"
"CD Leganés","Defender","J. Silva","30","3","29","144","887"
"CD Leganés","Defender","Nyom","23","1","20","90","491"
"CD Leganés","Defender","Kravets","6","0","4","30","165"
"CD Leganés","Defender","R. Tarín","18","0","31","61","468"
"CD Leganés","Defender","Muñoz","3","0","1","9","115"
"CD Leganés","Defender","Siovas","34","1","65","221","1.35"
"CD Leganés","Defender","K. Omeruo","28","0","37","134","963"
"CD Leganés","Midfielder","Óscar","31","4","17","138","950"
"CD Leganés","Midfielder","Gumbau","16","1","13","61","399"
"CD Leganés","Midfielder","Recio","18","1","14","93","651"
"CD Leganés","Midfielder","El Zhar","27","4","4","53","258"
"CD Leganés","Midfielder","Szymanowski","1","2","0","2","5"
"CD Leganés","Midfielder","Eraso","13","0","7","31","208"
"CD Leganés","Midfielder","Rubén Pérez J.","31","0","41","225","1.347"
"CD Leganés","Midfielder","Vesga","26","0","39","155","785"
"CD Leganés","Midfielder","Javier Avilés","0","2","0","0","0"
"CD Leganés","Forward","Youssef En-Nesyri","31","9","8","71","465"
"CD Leganés","Forward","Carrillo","32","6","8","58","640"
"CD Leganés","Forward","Jose Arnáiz","6","2","2","5","30"
"CD Leganés","Forward","Sabin Merino","12","2","0","7","88"
"CD Leganés","Forward","Santos","16","0","1","20","94"
"CD Leganés","Forward","Braithwaite","19","4","3","45","241"
"D. Alavés","Goalkeeper","Pacheco","35","0","1","275","956"
"D. Alavés","Goalkeeper","Sivera","3","0","0","32","88"
"D. Alavés","Goalkeeper","Álex Domínguez","0","0","0","0","0"
"D. Alavés","Defender","Vigaray","8","0","6","24","154"
"D. Alavés","Defender","R. Duarte","33","0","57","148","920"
"D. Alavés","Defender","Ely","5","0","7","21","160"
"D. Alavés","Defender","Laguardia","36","1","55","147","1.267"
"D. Alavés","Defender","Maripán","23","2","40","89","708"
"D. Alavés","Defender","Ximo Navarro","31","2","47","150","823"
"D. Alavés","Defender","Adrián Marín","6","0","7","15","82"
"D. Alavés","Defender","Martín","27","0","26","116","720"
"D. Alavés","Midfielder","Álex Blanco","2","2","0","2","6"
"D. Alavés","Midfielder","T. Pina","28","1","41","219","1.054"
"D. Alavés","Midfielder","Inui","20","1","5","68","347"
"D. Alavés","Midfielder","Manu","34","0","24","190","933"
"D. Alavés","Midfielder","Darko","24","2","13","109","619"
"D. Alavés","Midfielder","M. Wakaso","29","0","16","138","635"
"D. Alavés","Midfielder","Jony","36","5","23","186","778"
"D. Alavés","Midfielder","Paulino De la Fuente","0","2","0","0","0"
"D. Alavés","Midfielder","Andrei Lupu","0","1","0","0","0"
"D. Alavés","Forward","Rolan","15","2","4","41","166"
"D. Alavés","Forward","Guidetti","22","0","2","16","143"
"D. Alavés","Forward","Calleri","34","9","7","86","689"
"D. Alavés","Forward","Burgui","16","1","0","38","197"
"D. Alavés","Forward","Borja","27","5","4","40","314"
"D. Alavés","Forward","Twumasi","11","1","1","11","55"
"Athletic Club","Defender","Balenziaga","17","1","3","30","186"
"Athletic Club","Midfielder","Nolaskoain","9","0","12","37","253"
"Real Madrid","Forward","Vinicius","11","0","9","24","262"
"FC Barcelona","Goalkeeper","Cillessen","8","0","1","37","101"
"FC Barcelona","Midfielder","Aleñá","15","0","0","39","555"
"Real Madrid","Forward","Bale","28","5","20","29","762"
"Real Madrid","Midfielder","M. Llorente","1","1","7","43","371"
"Athletic Club","Goalkeeper","Unai Simón","8","0","1","56","170"
"Athletic Club","Defender","Núñez","16","1","31","49","555"
"Real Madrid","Midfielder","Valverde","14","2","14","56","384"
"Real Madrid","Midfielder","Isco","25","4","9","73","903"
"FC Barcelona","Forward","Suárez","37","18","2","69","942"
"Real Madrid","Defender","Odriozola","15","2","13","76","643"
"FC Barcelona","Forward","Messi","33","35","1","66","1672"
"Real Madrid","Forward","Benzema","33","18","4","77","1315"
"Athletic Club","Midfielder","Susaeta","29","1","9","68","500"
"FC Barcelona","Forward","O. Dembélé","24","3","9","69","890"
"FC Barcelona","Defender","Umtiti","14","2","13","69","892"
"FC Barcelona","Midfielder","Coutinho","36","5","10","72","1004"
"Real Madrid","Goalkeeper","Navas","9","0","2","74","207"
"Real Madrid","Forward","L. Vázquez","35","0","18","68","757"
"Real Madrid","Defender","Reguilón","19","2","20","69","756"
"Athletic Club","Midfielder","Capa","22","1","24","75","749"
"Real Madrid","Midfielder","Asensio","28","2","19","63","912"
"Athletic Club","Forward","Williams","35","10","7","87","741"
"Real Madrid","Midfielder","D. Ceballos","26","3","15","86","852"
"Getafe CF","Goalkeeper","Chichizola","1","0","0","9","24"
"Getafe CF","Goalkeeper","David Soria","37","0","1","366","1.037"
"Getafe CF","Goalkeeper","R. Yáñez","0","0","0","0","0"
"Getafe CF","Defender","Djené","34","0","74","265","974"
"Getafe CF","Defender","Antunes","28","1","43","151","789"
"Getafe CF","Defender","Bruno","23","0","22","89","500"
"Getafe CF","Defender","Cabrera","32","2","52","137","960"
"Getafe CF","Defender","Olivera","14","0","10","66","315"
"Getafe CF","Defender","Miquel","7","0","5","21","91"
"Getafe CF","Defender","Damián Suárez","36","0","46","246","1.323"
"Getafe CF","Defender","Foulquier","25","3","20","104","398"
"Getafe CF","Defender","Miguel Ángel Rubio","0","0","0","0","0"
"Getafe CF","Midfielder","M. Bergara","3","2","1","5","17"
"Getafe CF","Midfielder","Portillo","32","1","17","132","749"
"Getafe CF","Midfielder","Gaku","7","0","3","32","116"
"Getafe CF","Midfielder","Samu Sáiz","10","1","0","19","132"
"Getafe CF","Midfielder","S. Cristóforo","15","0","9","27","143"
"Getafe CF","Midfielder","Mathieu Flamini","10","0","5","28","135"
"Getafe CF","Midfielder","Arambarri","33","2","30","166","739"
"Getafe CF","Midfielder","Maksimovic","36","2","71","166","769"
"Getafe CF","Midfielder","Hugo Duro","11","1","3","18","59"
"Getafe CF","Forward","Mata","34","14","17","100","649"
"Getafe CF","Forward","Ángel ","37","8","8","59","317"
"Getafe CF","Forward","Jorge Molina","38","14","7","98","735"
"Girona FC","Goalkeeper","J. Suárez","0","0","0","0","0"
"Girona FC","Goalkeeper","Iraizoz","7","0","1","64","187"
"Girona FC","Goalkeeper","Bono","32","0","1","263","849"
"Girona FC","Defender","Bernardo","31","1","41","128","1.392"
"Girona FC","Defender","Johan Mojica","1","0","0","1","6"
"Girona FC","Defender","Ramalho","22","1","16","83","716"
"Girona FC","Defender","Alcalá","25","1","36","106","863"
"Girona FC","Defender","Aday Benítez","10","0","7","24","219"
"Girona FC","Defender","Raúl C.","15","0","18","68","424"
"Girona FC","Defender","Juanpe","33","0","57","140","1.548"
"Girona FC","Defender","Muniesa","19","0","37","93","765"
"Girona FC","Defender","Planas","7","0","4","25","184"
"Girona FC","Defender","Èric Montes","0","0","0","0","0"
"Girona FC","Midfielder","Kevin Soni","5","2","1","7","22"
"Girona FC","Midfielder","Paik","3","0","3","3","20"
"Girona FC","Midfielder","Yhoan Andzouana","0","2","0","0","0"
"Girona FC","Midfielder","Granell","32","0","35","164","1.306"
"Girona FC","Midfielder","Pere Pons","34","0","35","178","1.184"
"Girona FC","Midfielder","Borja García","33","2","38","206","1.288"
"Girona FC","Midfielder","Douglas Luiz","23","1","21","136","728"
"Girona FC","Midfielder","Roberts","19","0","3","23","174"
"Girona FC","Midfielder","Aleix García","31","0","21","120","1.073"
"Girona FC","Midfielder","Pedro Porro","32","1","39","179","865"
"Girona FC","Midfielder","Valery Fernández","17","0","8","52","279"
"Girona FC","Midfielder","Álex Pachón","0","0","0","0","0"
"Girona FC","Forward","Stuani","32","19","4","60","503"
"Girona FC","Forward","Portu","34","9","9","104","621"
"Girona FC","Forward","Lozano","20","2","0","28","180"
"Girona FC","Forward","Doumbia","17","1","3","16","70"
"Levante UD","Goalkeeper","Koke","1","0","0","6","20"
"Levante UD","Goalkeeper","Oier","21","0","1","184","478"
"Levante UD","Goalkeeper","Aitor Fdez.","16","0","1","148","374"
"Levante UD","Defender","Jordi","0","0","0","0","0"
"Levante UD","Defender","Toño","21","1","14","107","635"
"Levante UD","Defender","Rober Pier","33","1","51","191","1.095"
"Levante UD","Defender","Chema R.","19","2","19","51","371"
"Levante UD","Defender","Coke","27","4","40","113","746"
"Levante UD","Defender","Rubén Vezo","19","2","21","77","583"
"Levante UD","Defender","Postigo","21","1","20","75","493"
"Levante UD","Defender","E. Cabaco","21","2","29","69","695"
"Levante UD","Defender","Pedro López","8","0","8","26","175"
"Levante UD","Defender","Antonio Luna","16","0","15","99","477"
"Levante UD","Midfielder","Doukouré C.","9","2","3","15","109"
"Levante UD","Midfielder","Bardhi","36","3","31","198","1.103"
"Levante UD","Midfielder","J. Morales","37","12","12","128","695"
"Levante UD","Midfielder","Rochina","27","4","21","130","941"
"Levante UD","Midfielder","Vukčević","16","0","10","39","244"
"Levante UD","Midfielder","Jason","30","1","47","139","650"
"Levante UD","Midfielder","J. Campaña","36","4","48","268","1.857"
"Levante UD","Midfielder","Fran Manzanara","4","0","1","5","67"
"Levante UD","Midfielder","Arturo Molina","0","2","0","0","0"
"Levante UD","Forward","B. Mayoral","29","3","6","64","387"
"Levante UD","Forward","Moses","19","0","12","47","213"
"Levante UD","Forward","Roger","31","13","4","48","347"
"Levante UD","Forward","Dwamena","12","0","0","5","41"
"R. Valladolid CF","Goalkeeper","Masip","35","0","1","316","983"
