"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"RCD Espanyol","Defender","Hermoso","32","3","38","182","1.61"
"RCD Espanyol","Defender","Adrià Pedrosa","12","1","8","41","228"
"RCD Espanyol","Defender","Iago Indias","0","0","0","0","0"
"RCD Espanyol","Midfielder","Alfa Semedo","3","0","2","2","21"
"RCD Espanyol","Midfielder","Facundo Ferreyra","9","1","0","4","49"
"RCD Espanyol","Midfielder","Víctor S.","24","1","25","69","533"
"RCD Espanyol","Midfielder","S. Darder","34","4","22","143","1.235"
"RCD Espanyol","Midfielder","Melendo","32","1","13","99","868"
"RCD Espanyol","Midfielder","David López","21","2","28","101","1.207"
"RCD Espanyol","Midfielder","Álex López","4","1","3","10","75"
"RCD Espanyol","Midfielder","M. Roca","35","0","37","236","1.956"
"RCD Espanyol","Midfielder","Granero","28","3","26","132","1.12"
"RCD Espanyol","Midfielder","Carlos Doncel","0","2","0","0","0"
"RCD Espanyol","Midfielder","Víctor Campuzano","0","1","0","0","0"
"RCD Espanyol","Forward","Borja Iglesias","37","17","7","85","674"
"RCD Espanyol","Forward","S. García","29","2","10","59","439"
"RCD Espanyol","Forward","Hernán Pérez","19","1","5","44","222"
"RCD Espanyol","Forward","Piatti","20","0","2","49","233"
"RCD Espanyol","Forward","Puado","15","2","7","21","89"
"RCD Espanyol","Forward","Wu Lei","16","3","7","42","198"
"Real Betis","Goalkeeper","Joel Robles","5","0","0","52","163"
"Real Betis","Goalkeeper","Pau López","33","0","2","280","1.071"
"Real Betis","Defender","Emerson","6","0","7","12","146"
"Real Betis","Defender","Francis G.","22","0","21","79","783"
"Real Betis","Defender","Feddal","21","1","31","106","1.272"
"Real Betis","Defender","Bartra","33","1","60","164","2.266"
"Real Betis","Defender","Sidnei","24","1","41","116","1.243"
"Real Betis","Defender","A. Barragán","14","0","5","37","523"
"Real Betis","Defender","Júnior","24","3","23","105","934"
"Real Betis","Defender","Mandi","35","1","41","143","2.577"
"Real Betis","Defender","Julio Alonso","0","0","0","0","0"
"Real Betis","Defender","Edgar González","0","0","0","0","0"
"Real Betis","Midfielder","Kaptoum","10","1","10","37","324"
"Real Betis","Midfielder","Javi García","13","2","5","29","444"
"Real Betis","Midfielder","Canales","32","7","9","150","1.736"
"Real Betis","Midfielder","Tello Herrera","29","4","16","96","778"
"Real Betis","Midfielder","William Carvalho","30","2","12","202","1.904"
"Real Betis","Midfielder","Joaquín","30","6","14","64","846"
"Real Betis","Midfielder","A. Guardado","31","0","28","155","1.592"
"Real Betis","Midfielder","Giovani Lo Celso","32","9","17","107","1.424"
"Real Betis","Midfielder","Diego Lainez","12","0","1","10","123"
"Real Betis","Midfielder","Adrián Tellado","0","1","0","0","0"
"Real Betis","Midfielder","Irizo","0","0","0","0","0"
"Real Betis","Midfielder","Robert","0","0","0","0","0"
"Real Betis","Midfielder","Diego Altamirano","0","2","0","0","0"
"Real Betis","Midfielder","Jaime Garijo","0","0","0","0","0"
"Real Betis","Midfielder","Paul Akouokou","0","2","0","0","0"
"Real Betis","Forward","Sergio León","16","0","2","19","99"
"Real Betis","Forward","Jesé","14","0","1","20","193"
"Real Betis","Forward","Loren","33","6","6","35","337"
"FC Barcelona","Defender","N. Semedo","22","2","28","91","1218"
"FC Barcelona","Defender","S. Roberto","26","1","44","93","1809"
"Athletic Club","Midfielder","Córdoba","27","1","19","95","358"
"Athletic Club","Defender","San José","36","2","28","90","736"
"Real Madrid","Defender","Marcelo","23","1","14","117","1235"
"Real Madrid","Defender","Nacho","16","2","26","110","861"
"FC Barcelona","Defender","Clement Lenglet","26","2","22","109","1279"
"FC Barcelona","Midfielder","Arthur","27","2","12","115","1027"
"FC Barcelona","Midfielder","Vidal","34","6","29","109","1417"
"Athletic Club","Midfielder","De Marcos","23","0","30","132","1214"
"Athletic Club","Midfielder","Raúl García","35","9","21","131","977"
"Athletic Club","Midfielder","Ibai","38","8","10","139","752"
"Athletic Club","Defender","Yeray","28","2","64","123","1077"
"Real Madrid","Defender","Carvajal","30","0","22","127","1702"
"Athletic Club","Forward","Muniain ","34","8","11","173","1045"
"Real Madrid","Defender","Sergio Ramos","30","5","33","151","1794"
"Real Madrid","Midfielder","Kroos","25","1","15","161","1782"
"Real Madrid","Midfielder","Modrić","38","7","31","158","1673"
"Real Madrid","Defender","Varane","38","0","19","163","1901"
"Athletic Club","Midfielder","Beñat","23","0","21","153","1144"
"Athletic Club","Defender","I. Martínez","38","2","70","188","1279"
"FC Barcelona","Midfielder","Sergio","33","1","55","198","2574"
"Athletic Club","Midfielder","Dani García","28","0","41","180","1417"
"Real Madrid","Goalkeeper","Courtois","29","0","0","194","791"
"Real Madrid","Midfielder","Casemiro","25","6","41","207","1783"
"FC Barcelona","Defender","Jordi Alba","31","1","64","194","2319"
"FC Barcelona","Midfielder","I. Rakitić","32","5","51","209","2080"
"Athletic Club","Goalkeeper","Herrerín","32","0","1","226","926"
